"px-3","px-3 2","font-semibold","text-[10px]","font-semibold 2","text-[10px] 2","font-semibold 3","text-[10px] 3","font-semibold 4","text-[10px] 4","font-semibold 5","text-[10px] 5","text-gray-400 href"
"EX45 1215","Ouvrant fenêtre en porte feuille F=32mm","150.873","179.539","156.979","186.805","162.422","193.282","169.870","202.145","173.594","206.577","https://atelierpro.vortech-x.com/articles/407832/edit"
"EX45 1216","Ouvrant porte fenêtre et porte en feuillure (Extérieur)","161.680","192.399","168.223","200.185","174.056","207.127","182.038","216.625","186.029","221.375","https://atelierpro.vortech-x.com/articles/407838/edit"
"Ex45 1217","Ouvrant fenêtre basculante","148.650","176.894","154.666","184.053","160.030","190.436","167.368","199.168","171.037","203.534","https://atelierpro.vortech-x.com/articles/406496/edit"
"EX45 1218","Ouvrant fenêtre ligne droite","145.491","173.134","151.380","180.142","156.367","186.077","163.190","194.196","166.602","198.256","https://atelierpro.vortech-x.com/articles/407844/edit"
"EX45 1219","Ouvrant porte fenêtre (Z) ligne droite","171.348","203.904","178.284","212.158","184.466","219.515","192.925","229.581","197.155","234.614","https://atelierpro.vortech-x.com/articles/407850/edit"
"EX45 1220","Ouvrant porte fenêtre (T) ligne droite","171.348","203.904","178.284","212.158","184.464","219.512","192.925","229.581","197.155","234.614","https://atelierpro.vortech-x.com/articles/407856/edit"
"Ex45 1310","Parclose arrondie F=15 mm","40.286","47.940","41.917","49.881","43.222","51.434","45.010","53.562","45.904","54.626","https://atelierpro.vortech-x.com/articles/406501/edit"
"Ex45 1311","Parclose arrondie F=30 mm","30.763","36.608","32.009","38.091","33.007","39.278","34.371","40.901","35.054","41.714","https://atelierpro.vortech-x.com/articles/406506/edit"
"EX45 1312","Parclose droite F=15 mm","50.906","60.578","52.965","63.028","54.632","65.012","56.914","67.728","58.054","69.084","https://atelierpro.vortech-x.com/articles/407141/edit"
"EX45 1313","Parclose droite F=32 mm","40.503","48.199","42.146","50.154","43.455","51.711","45.252","53.850","46.151","54.920","https://atelierpro.vortech-x.com/articles/407142/edit"
"EX45 1314","Parclose droite F=37mm","34.016","40.479","35.392","42.116","36.495","43.429","38.005","45.226","38.759","46.123","https://atelierpro.vortech-x.com/articles/407862/edit"
"EX45 1315","Parclose droite F=18mm","48.869","58.154","50.847","60.508","52.446","62.411","54.637","65.018","55.732","66.321","https://atelierpro.vortech-x.com/articles/407868/edit"
"EX45 1318","Parclose droite pour ligne droite F=37mm","49.182","58.527","51.173","60.896","52.785","62.814","54.988","65.436","56.090","66.747","https://atelierpro.vortech-x.com/articles/407874/edit"
"EX45 1319","Parclose droite pour ligne droite F=32mm","52.629","62.629","54.758","65.162","56.482","67.214","58.841","70.021","60.020","71.424","https://atelierpro.vortech-x.com/articles/407880/edit"
"EX45 1320","Parclose droite pour ligne droite F=18mm","58.424","69.525","60.789","72.339","62.702","74.615","65.319","77.730","66.630","79.290","https://atelierpro.vortech-x.com/articles/407886/edit"
"EX45 1321","Parclose droite pour ligne droite F=15mm","60.461","71.949","62.907","74.859","64.886","77.214","67.596","80.439","68.952","82.053","https://atelierpro.vortech-x.com/articles/407892/edit"
"Ex45 1410","Porte joint pour porte","43.944","52.293","45.723","54.410","47.165","56.126","49.131","58.466","50.116","59.638","https://atelierpro.vortech-x.com/articles/406511/edit"
"Ex45 1510","Bavette extérieure de 20 mm","23.586","28.067","24.540","29.203","25.304","30.112","26.351","31.358","26.875","31.981","https://atelierpro.vortech-x.com/articles/406516/edit"
"EX45 1513","Couvre joint EX45 arrondi 65mm","43.667","51.964","45.435","54.068","46.850","55.752","48.788","58.058","49.757","59.211","https://atelierpro.vortech-x.com/articles/407595/edit"
"EX45 1514","Couvre joint EX45 droit 60mm","55.605","66.170","57.853","68.845","59.675","71.013","62.168","73.980","63.413","75.461","https://atelierpro.vortech-x.com/articles/407597/edit"
"EX45 1525","Rejet d'eau (bavette extérieure 20mm)","25.473","30.313","26.503","31.539","27.328","32.520","28.459","33.866","29.025","34.540","https://atelierpro.vortech-x.com/articles/408054/edit"
"EX60 2110","Dormant deux rails avec couvre joint intégré avec récupérateur d'eau","212.161","252.472","220.747","262.689","228.401","271.797","238.874","284.260","244.111","290.492","https://atelierpro.vortech-x.com/articles/406548/edit"
"Ex60 2111","Dormant deux rails avec couvre joint intégré avec récupérateur d'eau","212.161","252.472","220.747","262.689","228.401","271.797","238.874","284.260","244.306","290.724","https://atelierpro.vortech-x.com/articles/406553/edit"
"EX60 2112","Dormant deux rails avec couvre joint intégré avec récupérateur d'eau","212.161","252.472","220.747","262.689","228.401","271.797","238.874","284.260","244.111","290.492","https://atelierpro.vortech-x.com/articles/406558/edit"
"EX60 2114","Dormant (2 rails) sans couvre joint","192.253","228.781","200.033","238.039","206.969","246.293","216.460","257.587","221.206","263.235","https://atelierpro.vortech-x.com/articles/408059/edit"
"EX60 2115","Dormant (2 rails) avec couvre joint intégré","186.279","221.672","193.819","230.645","200.540","238.643","209.736","249.586","214.334","255.057","https://atelierpro.vortech-x.com/articles/408064/edit"
"EX60 2116","Dormant (2 rails) avec couvre joint intégré avec récupérateur d'eau","212.161","252.472","220.747","262.689","228.401","271.797","238.874","284.260","244.111","290.492","https://atelierpro.vortech-x.com/articles/408069/edit"
"EX60 2117","Dormant (2 rails) sans couvre joint","169.785","202.044","176.657","210.222","182.781","217.509","191.164","227.485","195.355","232.472","https://atelierpro.vortech-x.com/articles/408074/edit"
"EX60 2118","Dormant (2 rails) sans couvre joint avec récupérateur d'eau","195.666","232.843","203.585","242.266","210.644","250.666","220.303","262.161","225.132","267.907","https://atelierpro.vortech-x.com/articles/408079/edit"
"EX60 2119","Dormant (2 rails) sans couvre joint avec récupérateur d'eau droit","197.514","235.042","205.508","244.555","212.633","253.033","222.384","264.637","227.260","270.439","https://atelierpro.vortech-x.com/articles/408084/edit"
"EX60 2121","Dormant (3 rails) avec couvre joint intégré sans récupérateur d'eau","293.499","349.264","305.379","363.401","315.965","375.998","330.454","393.240","337.699","401.862","https://atelierpro.vortech-x.com/articles/408089/edit"
"EX60 2122","Dormant (3 rails) sans couvre joint avec récupérateur d'eau droit","302.599","360.093","314.845","374.666","325.763","387.658","340.701","405.434","348.170","414.322","https://atelierpro.vortech-x.com/articles/408094/edit"
"EX60 2123","Seuil plat (2 rails) avec récupérateur d'eau droit","131.176","156.099","136.484","162.416","141.004","167.795","147.188","175.154","150.281","178.834","https://atelierpro.vortech-x.com/articles/408099/edit"
"EX60 2125","Dormant (2 rails) avec couvre joint avec récupérateur d'eau droit","214.008","254.670","222.670","264.977","230.230","273.974","240.957","286.739","246.239","293.024","https://atelierpro.vortech-x.com/articles/408104/edit"
"EX60 2126","Dormant (3 rails) avec couvre joint intégré avec récupérateur d'eau","321.084","382.090","334.080","397.555","345.664","411.340","361.515","430.203","369.440","439.634","https://atelierpro.vortech-x.com/articles/408109/edit"
"Ex60 2210","Traverse haute et basse ouvrant","136.238","162.123","141.752","168.685","146.446","174.271","152.869","181.914","156.081","185.736","https://atelierpro.vortech-x.com/articles/406563/edit"
"Ex60 2211","Montant latéral ouvrant","145.754","173.447","151.653","180.467","156.912","186.725","164.106","195.286","167.705","199.569","https://atelierpro.vortech-x.com/articles/406568/edit"
"Ex60 2212","Montant central ouvrant","104.778","124.686","109.018","129.731","112.609","134.005","117.523","139.852","119.980","142.776","https://atelierpro.vortech-x.com/articles/406573/edit"
"Ex60 2213","Montant central renforcé ouvrant","174.904","208.136","181.983","216.560","188.294","224.070","196.927","234.343","201.245","239.482","https://atelierpro.vortech-x.com/articles/406578/edit"
"Ex60 2214","Montant latéral renforcé ouvrant","204.907","243.839","213.201","253.709","220.593","262.506","230.710","274.545","235.767","280.563","https://atelierpro.vortech-x.com/articles/406583/edit"
"Ex60 2215","Traverse intérmediaire 74 mm","149.166","177.508","155.204","184.693","160.585","191.096","167.949","199.859","171.630","204.240","https://atelierpro.vortech-x.com/articles/406588/edit"
"EX60 2216","Montant central ouvrant fenêtre LD","135.014","160.667","140.478","167.169","145.106","172.676","151.438","180.211","154.603","183.978","https://atelierpro.vortech-x.com/articles/408114/edit"
"EX60 2217","Montant central ouvrant porte fenêtre LD","247.995","295.114","258.030","307.056","266.978","317.704","279.221","332.273","285.342","339.557","https://atelierpro.vortech-x.com/articles/408119/edit"
"EX60 2218","Montant latéral ouvrant LD","154.143","183.430","160.381","190.853","165.942","197.471","173.553","206.528","177.358","211.056","https://atelierpro.vortech-x.com/articles/408124/edit"
"EX60 2221","Montant latéral renforcé ouvrant Slim Line","188.840","224.720","196.482","233.814","203.296","241.922","212.617","253.014","217.279","258.562","https://atelierpro.vortech-x.com/articles/408129/edit"
"EX60 2222","Montant central ouvrant porte fenêtre LD 40mm","212.587","252.979","221.190","263.216","228.861","272.345","239.355","284.832","244.603","291.078","https://atelierpro.vortech-x.com/articles/408134/edit"
"EX60 2223","Montant central ouvrant fenêtre LD 40mm","116.752","138.935","121.477","144.558","125.480","149.321","130.955","155.836","133.693","159.095","https://atelierpro.vortech-x.com/articles/408139/edit"
"Ex60 2310","Rejet d'eau supérieur","45.565","54.222","47.409","56.417","48.886","58.174","50.909","60.582","51.920","61.785","https://atelierpro.vortech-x.com/articles/406593/edit"
"EX60 2311","Battement centrale sur même rail","42.084","50.080","43.788","52.108","45.154","53.733","47.020","55.954","47.953","57.064","https://atelierpro.vortech-x.com/articles/406598/edit"
"Ex60 2312","Réducteur de feuillure pour simple vitrage F= 15 mm","37.971","45.185","39.509","47.016","40.740","48.481","42.423","50.483","43.266","51.487","https://atelierpro.vortech-x.com/articles/406603/edit"
"FSQ 102","—","100.309","119.368","105.324","125.336","105.324","125.336","105.324","125.336","114.098","135.777","https://atelierpro.vortech-x.com/articles/407144/edit"
"FSQ 104","—","165.518","196.966","173.794","206.815","173.794","206.815","173.794","206.815","188.323","224.104","https://atelierpro.vortech-x.com/articles/407145/edit"
"FSQ 107","Tringle","19.811","23.575","20.802","24.754","20.802","24.754","20.802","24.754","31.093","37.001","https://atelierpro.vortech-x.com/articles/406623/edit"
"FSQ 108","Rejet d'eau","20.728","24.666","21.765","25.900","21.765","25.900","21.765","25.900","23.583","28.064","https://atelierpro.vortech-x.com/articles/406628/edit"
"FSQ 111","—","43.718","52.024","45.904","54.626","45.904","54.626","45.904","54.626","49.580","59.000","https://atelierpro.vortech-x.com/articles/406842/edit"
"FSQ 112","—","106.564","126.811","111.893","133.153","111.893","133.153","111.893","133.153","121.247","144.284","https://atelierpro.vortech-x.com/articles/406638/edit"
"FSQ 121","Traverse intermédiaire 130 mm","210.555","250.560","221.083","263.089","221.083","263.089","221.083","263.089","239.555","285.070","https://atelierpro.vortech-x.com/articles/406843/edit"
"FSQ 122","Porte joint traverse à clipser","41.862","49.816","43.955","52.306","43.955","52.306","43.955","52.306","47.627","56.676","https://atelierpro.vortech-x.com/articles/406648/edit"
"FSQ 124","—","102.309","121.748","107.324","127.716","107.324","127.716","107.324","127.716","118.098","140.537","https://atelierpro.vortech-x.com/articles/406653/edit"
"FSQ 139","—","46.172","54.945","48.481","57.692","48.481","57.692","48.481","57.692","52.331","62.274","https://atelierpro.vortech-x.com/articles/406845/edit"
"FSQ 401","Ouvrant simple tubulaire","125.394","149.219","131.664","156.680","131.664","156.680","131.664","156.680","142.664","169.770","https://atelierpro.vortech-x.com/articles/406663/edit"
"FSQ 402","Dormant ""Z"" simple tubulaire avec couvre joint arrondi 35 mm","125.765","149.660","132.054","157.144","132.054","157.144","132.054","157.144","143.088","170.275","https://atelierpro.vortech-x.com/articles/407150/edit"
"FSQ 403","Ouvrant double tubulaire","163.225","194.238","171.387","203.951","171.387","203.951","171.387","203.951","189.433","225.425","https://atelierpro.vortech-x.com/articles/406668/edit"
"FSQ 407","—","119.761","142.516","125.750","149.643","125.750","149.643","125.750","149.643","136.261","162.151","https://atelierpro.vortech-x.com/articles/406673/edit"
"FSQ 408","Dormant double tubulaire clipsable","125.367","149.187","131.636","156.647","131.636","156.647","131.636","156.647","142.936","170.094","https://atelierpro.vortech-x.com/articles/406678/edit"
"FSQ100","—","123.074","146.458","129.228","153.781","129.228","153.781","129.228","153.781","140.031","166.637","https://atelierpro.vortech-x.com/articles/407143/edit"
"FSQ124","—","—","","—","","—","","—","","—","","https://atelierpro.vortech-x.com/articles/406844/edit"
"FSQ148","—","123.236","146.651","129.398","153.984","129.398","153.984","129.398","153.984","140.215","166.856","https://atelierpro.vortech-x.com/articles/407146/edit"
"FSQ150","—","148.960","177.262","156.408","186.126","156.408","186.126","156.408","186.126","169.483","201.685","https://atelierpro.vortech-x.com/articles/407147/edit"
"FSQ151","—","240.008","285.610","252.008","299.890","252.008","299.890","252.008","299.890","273.076","324.960","https://atelierpro.vortech-x.com/articles/407148/edit"
"FSQ156","—","240.008","285.610","252.008","299.890","252.008","299.890","252.008","299.890","273.076","324.960","https://atelierpro.vortech-x.com/articles/407149/edit"
"FSQ408","—","—","","—","","—","","—","","—","","https://atelierpro.vortech-x.com/articles/406846/edit"
"Glissière 39","—","65.000","77.350","70.000","83.300","70.000","83.300","75.000","89.250","75.000","89.250","https://atelierpro.vortech-x.com/articles/406788/edit"
"Glissière 42","—","55.000","65.450","55.000","65.450","55.000","65.450","—","65.450","55.000","","https://atelierpro.vortech-x.com/articles/406769/edit"
"Glissière 45","—","60.000","71.400","60.000","71.400","60.000","71.400","—","71.400","60.000","","https://atelierpro.vortech-x.com/articles/406750/edit"
"Glissière 55","—","65.000","77.350","75.000","89.250","75.000","89.250","75.000","89.250","85.000","101.150","https://atelierpro.vortech-x.com/articles/406731/edit"
"Glissière 64","—","85.000","101.150","95.000","113.050","100.000","119.000","100.000","119.000","110.000","130.900","https://atelierpro.vortech-x.com/articles/406807/edit"
"Glissière double 39","—","80.000","95.200","80.000","95.200","80.000","95.200","—","95.200","80.000","","https://atelierpro.vortech-x.com/articles/406789/edit"
"Glissière double 42","—","85.000","101.150","85.000","101.150","85.000","101.150","—","101.150","85.000","","https://atelierpro.vortech-x.com/articles/406770/edit"
"Glissière double 45","—","90.000","107.100","90.000","107.100","90.000","107.100","—","107.100","90.000","","https://atelierpro.vortech-x.com/articles/406751/edit"
"Glissière double 55","—","100.000","119.000","100.000","119.000","100.000","119.000","—","119.000","100.000","","https://atelierpro.vortech-x.com/articles/406732/edit"
"Glissière double 64","—","105.000","124.950","105.000","124.950","105.000","124.950","—","124.950","105.000","","https://atelierpro.vortech-x.com/articles/406808/edit"
"GS10-04-1","Profil couvre joint sabot sol","120.000","142.800","120.000","142.800","120.000","142.800","120.000","142.800","120.000","142.800","https://atelierpro.vortech-x.com/articles/407156/edit"
"Lame extrudée","—","55.000","65.450","55.000","65.450","55.000","65.450","55.000","65.450","55.000","65.450","https://atelierpro.vortech-x.com/articles/406818/edit"
"Lame final 39","—","70.000","83.300","70.000","83.300","70.000","83.300","70.000","83.300","70.000","83.300","https://atelierpro.vortech-x.com/articles/406781/edit"
"Lame final 42","—","70.000","83.300","70.000","83.300","70.000","83.300","70.000","83.300","70.000","83.300","https://atelierpro.vortech-x.com/articles/406762/edit"
"Lame final 45","—","70.000","83.300","70.000","83.300","70.000","83.300","70.000","83.300","70.000","83.300","https://atelierpro.vortech-x.com/articles/406743/edit"
"Lame final 55","—","75.000","89.250","90.000","107.100","90.000","107.100","90.000","107.100","90.000","107.100","https://atelierpro.vortech-x.com/articles/406724/edit"
"Lame final 64","—","80.000","95.200","90.000","107.100","90.000","107.100","90.000","107.100","90.000","107.100","https://atelierpro.vortech-x.com/articles/406800/edit"
"Lame injectée 39","—","15.000","17.850","22.000","26.180","22.000","26.180","22.000","26.180","22.000","26.180","https://atelierpro.vortech-x.com/articles/406780/edit"
"Lame injectée 42","—","15.000","17.850","22.000","26.180","22.000","26.180","22.000","26.180","22.000","26.180","https://atelierpro.vortech-x.com/articles/406761/edit"
"Lame injectée 45","—","15.000","17.850","20.000","23.800","20.000","23.800","20.000","23.800","20.000","23.800","https://atelierpro.vortech-x.com/articles/406742/edit"
"Lame injectée 55","—","18.000","21.420","24.000","28.560","24.000","28.560","24.000","28.560","27.000","32.130","https://atelierpro.vortech-x.com/articles/406723/edit"
"Lame injectée 64","—","21.000","24.990","27.000","32.130","27.000","32.130","27.000","32.130","27.000","32.130","https://atelierpro.vortech-x.com/articles/406799/edit"
"Lame S","—","20.000","23.800","20.000","23.800","20.000","23.800","—","23.800","20.000","","https://atelierpro.vortech-x.com/articles/406819/edit"
"TW60 1314","—","43.667","51.964","45.435","54.068","46.850","55.752","48.786","58.055","49.757","59.211","https://atelierpro.vortech-x.com/articles/406703/edit"
"TW60 3165","—","55.605","66.170","57.853","68.845","59.675","71.013","62.168","73.980","63.413","75.461","https://atelierpro.vortech-x.com/articles/407207/edit"
"TW60 3166","Couvre joint TW60","55.605","66.170","57.853","68.845","59.675","71.013","62.168","73.980","63.413","75.461","https://atelierpro.vortech-x.com/articles/408053/edit"
